section,spoken_window_start,spoken_window_end,spoken_window_duration,source_file,keep_start,keep_end,keep_duration,purpose,status,notes
Library,14.82,41.56,26.74,1 Library.MP4,0:08.8,0:20.0,11.2,Rulesheet proof,keep,"Start at Extra Ball jump instead of showing Library approach"
Library,14.82,41.56,26.74,1 Library.MP4,0:20.0,0:28.0,8.0,Playfield proof,keep,"Keep playfield access and right-ramp proof"
Library,14.82,41.56,26.74,1 Library.MP4,0:28.0,0:33.5,5.5,Gameplay proof,keep,"This already fits comfortably"
Library,14.82,41.56,26.74,1 Library.MP4,0:00.0,0:08.8,8.8,Library setup,drop,"Lose opening Library, scroll, open game, open Rulesheet"
Practice,41.56,68.18,26.62,2 Practice.MP4,0:03.0,0:09.0,6.0,Study logging,keep,"Use only decisive logging moments"
Practice,41.56,68.18,26.62,2 Practice.MP4,0:13.5,0:18.5,5.0,Score scan,keep,"Drop score-entry setup"
Practice,41.56,68.18,26.62,2 Practice.MP4,0:26.0,0:32.0,6.0,Study group,keep,"Keep template/bank choice, not full setup"
Practice,41.56,68.18,26.62,2 Practice.MP4,0:43.5,0:48.0,4.5,Review notes,keep,"Start at visible result, not search setup"
Practice,41.56,68.18,26.62,2 Practice.MP4,0:48.0,0:53.0,5.0,Game log,keep,"Trim long tail of log scroll"
Practice,41.56,68.18,26.62,2 Practice.MP4,0:00.0,0:03.0,3.0,Practice open + resume context,drop,"Cut for time"
Practice,41.56,68.18,26.62,2 Practice.MP4,0:09.0,0:13.5,4.5,Between logging and scan,drop,"Navigation/setup time"
Practice,41.56,68.18,26.62,2 Practice.MP4,0:18.5,0:26.0,7.5,Between scan and group,drop,"Open dashboard/template setup"
Practice,41.56,68.18,26.62,2 Practice.MP4,0:32.0,0:43.5,11.5,Between group and notes,drop,"Back-navigation and search typing"
Practice,41.56,68.18,26.62,2 Practice.MP4,0:53.0,0:55.5,2.5,End of log,drop,"Trim long tail"
GameRoom,68.18,85.62,17.44,3 GameRoom.MP4,0:04.5,0:08.0,3.5,Import payoff,keep,"Start once Pokemon/import proof is visible"
GameRoom,68.18,85.62,17.44,3 GameRoom.MP4,0:08.0,0:12.0,4.0,Organization setup,keep,"Keep representative organization action"
GameRoom,68.18,85.62,17.44,3 GameRoom.MP4,0:16.0,0:18.0,2.0,Position/final organization,keep,"Short confirming beat"
GameRoom,68.18,85.62,17.44,3 GameRoom.MP4,0:32.5,0:36.0,3.5,Issue resolution payoff,keep,"Use resolved state, not full issue flow"
GameRoom,68.18,85.62,17.44,3 GameRoom.MP4,0:44.5,0:48.0,3.5,GameRoom browse payoff,keep,"Hold on filtered location layout"
GameRoom,68.18,85.62,17.44,3 GameRoom.MP4,0:00.0,0:04.5,4.5,GameRoom/import setup,drop,"Opening UI and typing setup"
GameRoom,68.18,85.62,17.44,3 GameRoom.MP4,0:12.0,0:16.0,4.0,Mid organization flow,drop,"Too much menu drilling"
GameRoom,68.18,85.62,17.44,3 GameRoom.MP4,0:18.0,0:32.5,14.5,Navigation into issue flow,drop,"Selected-machine and entry flow are too expensive"
GameRoom,68.18,85.62,17.44,3 GameRoom.MP4,0:36.0,0:44.5,8.5,Library/filter setup,drop,"Keep only final filtered view"
Settings,85.62,104.34,18.72,4 Settings.MP4,0:07.0,0:10.0,3.0,Venue import payoff,keep,"Use imported state, not setup"
Settings,85.62,104.34,18.72,4 Settings.MP4,0:13.0,0:18.0,5.0,MatchPlay ID entry,keep,"Short typing beat is still useful"
Settings,85.62,104.34,18.72,4 Settings.MP4,0:18.0,0:23.0,5.0,Arena list payoff,keep,"Use first useful imported result"
Settings,85.62,104.34,18.72,4 Settings.MP4,0:32.0,0:37.5,5.5,IFPA profile,keep,"This survives cleanly"
Settings,85.62,104.34,18.72,4 Settings.MP4,0:00.0,0:07.0,7.0,Settings + venue setup,drop,"Too much setup for the spoken window"
Settings,85.62,104.34,18.72,4 Settings.MP4,0:10.0,0:13.0,3.0,Tournament import start,drop,"Cut for time"
Settings,85.62,104.34,18.72,4 Settings.MP4,0:23.0,0:32.0,9.0,Long arena list hold / transition,drop,"Keep only the first readable payoff"
League,104.34,127.58,23.24,5 League.MP4,0:01.0,0:04.0,3.0,Dashboard mini views,keep,"Short establishing overview"
League,104.34,127.58,23.24,5 League.MP4,0:14.5,0:18.0,3.5,Stats payoff,keep,"Show result, not filter drilling"
League,104.34,127.58,23.24,5 League.MP4,0:24.0,0:32.0,8.0,Standings scroll,keep,"One of the few scrolls worth keeping"
League,104.34,127.58,23.24,5 League.MP4,0:32.0,0:34.5,2.5,Standings hold,keep,"Privacy-safe readable hold"
League,104.34,127.58,23.24,5 League.MP4,0:44.0,0:48.0,4.0,Targets payoff,keep,"Use final target view"
League,104.34,127.58,23.24,5 League.MP4,0:00.0,0:01.0,1.0,Open League,drop,"No room needed for this"
League,104.34,127.58,23.24,5 League.MP4,0:04.0,0:14.5,10.5,Stats setup + filter drilling,drop,"Use only result state"
League,104.34,127.58,23.24,5 League.MP4,0:18.0,0:24.0,6.0,Standings open + season filter,drop,"Cut for time"
League,104.34,127.58,23.24,5 League.MP4,0:34.5,0:44.0,9.5,Targets navigation/filter setup,drop,"Keep only targets payoff"
