section,sequence_order,sentence_id,phrase_id,phrase_text,full_script_line,word_start,word_end,phrase_duration,view_mode,source_crop,source_prep_state,clip_goal,overlay_text,notes
Intro,1,1,1,"my name is Peter","Hey everyone, my name is Peter.",,,,"full_app","full_device","camera framed and ready","simple face-camera intro",,
Intro,2,2,1,"this is PinProf","This is PinProf, a pinball study app with your own personal pinball professor.",,,,"full_app","intro_crop","logo or welcome art already framed","show brand reveal","PinProf",
Intro,3,2,2,"pinball study app","This is PinProf, a pinball study app with your own personal pinball professor.",,,,"full_app","intro_crop","welcome art or app hero already framed","reinforce product identity",,
Library,4,1,1,"look something up quickly","When you're walking up to a game, sometimes you just want to look something up quickly.",,,,"full_app","intro_crop","Library landing already visible","show Library context","Library",
Library,5,2,1,"Jurassic Park","On Jurassic Park, how do you qualify that early extra ball, and where do you collect it?",,,,"full_app","intro_crop","Jurassic Park detail already open","establish target game",,
Library,6,3,1,"jump straight to that part","In Library, you can jump straight to that part of the rules.",,,,"focus_crop","horizontal_crop","Rulesheet already at the right anchor","prove quick lookup","Read Rulesheet",
Library,7,3,2,"six rescues","see that it takes six rescues",,,,"focus_crop","horizontal_crop","six rescues line already crisp and centered","prove requirement",,
Library,8,3,3,"right ramp","and that it's collected at the right ramp.",,,,"focus_crop","horizontal_crop","right ramp line already crisp and centered","prove collection location",,
Library,9,4,1,"check the playfield","Then you can check the playfield",,,,"full_app","intro_crop","playfield view already open","show playfield access","View Playfield",
Library,10,4,2,"extra ball sign","spot that little extra ball sign",,,,"focus_crop","horizontal_crop","playfield already framed on the sign","prove visual reference",,
Library,11,4,3,"watch a gameplay video","and even watch a gameplay video to see it in action.",,,,"focus_crop","horizontal_crop","video tile already visible","prove tutorial video access","Watch Gameplay",
Practice,12,1,1,"keep track of it","With all of this practice you're putting in, you'll want to keep track of it.",,,,"full_app","intro_crop","Practice home already visible","show Practice context","Practice",
Practice,13,2,1,"log that","If you studied the rules or reviewed the playfield, you can log that.",,,,"focus_crop","horizontal_crop","study log result already visible","prove study logging","Log Study",
Practice,14,3,1,"scan a score","Recording your scores is easy. You can scan a score right off the machine",,,,"full_app","intro_crop","scan flow already framed near freeze moment","show scanning action","Scan Score",
Practice,15,3,2,"save it in seconds","and save it in seconds.",,,,"focus_crop","horizontal_crop","saved score confirmation already visible","prove fast save",,
Practice,16,4,1,"build a study group","You can also build a study group around an upcoming bank of league games.",,,,"focus_crop","horizontal_crop","study group result already visible","prove group creation","Create Study Group",
Practice,17,5,1,"review notes","Look up any machine quickly, review notes",,,,"focus_crop","horizontal_crop","notes already open and readable","prove notes workflow","Review Notes",
Practice,18,5,2,"check the log","and check the log to see everything you've done for practice in the past.",,,,"focus_crop","horizontal_crop","game log already open and readable","prove history view","Check Game Log",
GameRoom,19,1,1,"personal collection","For owners, PinProf makes it easy to keep track of your personal collection.",,,,"full_app","intro_crop","GameRoom landing already visible","show GameRoom context","GameRoom",
GameRoom,20,2,1,"import your games","You can import your games from Pinside",,,,"focus_crop","horizontal_crop","import result already visible","prove import","Import Collection",
GameRoom,21,2,2,"organize them","and organize them by area and position.",,,,"focus_crop","horizontal_crop","organized machine state already visible","prove organization","Organize Games",
GameRoom,22,3,1,"log issues and fixes","Keep track of play count and maintenance, log issues and fixes as they happen",,,,"focus_crop","horizontal_crop","issue resolution result already visible","prove upkeep tracking","Track Issues",
GameRoom,23,3,2,"browse your GameRoom","and browse your GameRoom in the Library.",,,,"full_app","intro_crop","Library already filtered to Flynn's Arcade","prove GameRoom browsing","Browse GameRoom",
Settings,24,1,1,"places you play","PinProf also connects you to the places you play at",,,,"full_app","intro_crop","Settings already open to imports area","show Settings context","Settings",
Settings,25,1,2,"bring those games into the Library","You can add your home arcade and bring those games into the Library.",,,,"focus_crop","horizontal_crop","venue import result already visible","prove venue import","Import Venues",
Settings,26,2,1,"MatchPlay ID","If you play competitively, load in a tournament's arena list with its MatchPlay ID for easy study",,,,"focus_crop","horizontal_crop","arena list already imported and visible","prove tournament import","Tournament Import",
Settings,27,2,2,"IFPA profile","and quickly check your IFPA profile to see where you stand.",,,,"focus_crop","horizontal_crop","IFPA profile already visible","prove profile access","IFPA Profile",
League,28,1,1,"league stats at a glance","With PinProf, you can easily view league stats at a glance.",,,,"full_app","intro_crop","League dashboard already visible","show League context","League Stats",
League,29,2,1,"deep dive","Or you can take a deep dive",,,,"focus_crop","horizontal_crop","stats result already filtered and ready","show deeper stats drilldown","View Stats",
League,30,2,2,"compared to everyone else","and see how you did on a game compared to everyone else in that bank or from across all of LPL history.",,,,"focus_crop","horizontal_crop","standings or comparison table already centered","prove comparative view","View Standings",
League,31,3,1,"track your growth","You can track your growth over the seasons",,,,"focus_crop","horizontal_crop","season comparison already readable","prove longitudinal view",,
League,32,3,2,"score targets","and use score targets to help plan your next practice session.",,,,"focus_crop","horizontal_crop","Bank 7 targets already visible","prove target planning","Score Targets",
Outro,33,1,1,"give a little back","I hope PinProf can be my way to give a little back.",,,,"full_app","full_device","camera framed and ready","return to Peter on camera",,
Outro,34,2,1,"give the app a flip","Give the app a flip and let me know what you think.",,,,"full_app","full_device","camera framed and ready","direct close",,
Outro,35,3,1,"thanks","Thanks!",,,,"full_app","full_device","logo or face-camera close ready","clean ending",,
